team_name,player_name
,
Dal,"Tony Romo,Romo"
GB,"Aaron Rodgers,Rodgers"
Pit,"Ben Roethlisberger,Roethlisberger"
Den,"Peyton Manning,Manning"
NE,"Tom Brady,Brady"
NO,"Drew Brees,Brees"
Ind,"Andrew Luck,Luck"
Ari,"Carson Palmer,Palmer"
Hou,"Ryan Fitzpatrick,Fitzpatrick"
Sea,"Russell Wilson,Wilson"
Atl,"Matt Ryan,Ryan"
SD,"Philip Rivers,Rivers"
KC,"Alex Smith,Smith"
Mia,"Ryan Tannehill,Tannehill"
NYG,"Eli Manning,Manning"
Bal,"Joe Flacco,Flacco"
Chi,"Jay Cutler,Cutler"
Phi,"Mark Sanchez,Sanchez"
Buf,"Kyle Orton,Orton"
SF,"Colin Kaepernick,Kaepernick"
Det,"Matthew Stafford,Stafford"
Min,"Teddy Bridgewater,Bridgewater"
Stl,"Austin Davis,Davis"
Stl,"Shaun Hill,Hill"
Cin,"Andy Dalton,Dalton"
